"id","name","serial_no","purchase_date","note","image","created_at","updated_at","warranty_month","request_able","quantity","asset_type_id","assigned_to_id","location_at_id","manufacturer_id","model_no_id","on_network_id","status_id","supplier_id"
1,"OS6850E-24","R4687425","2022-07-01 00:00:00","test add","assets/test asset 1/1651049507309.jpg","2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,1,1,1,,1,1
2,"MFGR WTD","AL1663604725",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
3,"MFGR WTD","AL1455005893",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
4,"MFGR WTD","AL1663604807",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
5,"MFGR WTD","AL1455006033",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
6,"OS6850E-24","R4687276",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
7,"MFGR OCLARO INC","L15C11530",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
8,"MFGR Mikrotik","SG31231405349",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
9,"MFGR Mikrotik","SG31231405322",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
10,"MFGR WTD","AL1455006040",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
11,"24 10/100/1000 + 2 10G + 2 1/10G STK/UPLINK","R5082412",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
12,"SOURCEPHOTONICS","F2V2002939",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
13,"SOURCEPHOTONICS","F2V2002162",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
14,"24 10/100/1000 + 2 10G + 2 1/10G STK/UPLINK","R5082410",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
15,"SOURCEPHOTONICS","F2V2002462",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
16,"24 10/100/1000 + 2 10G + 2 1/10G STK/UPLINK","R5082430",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
17,"SOURCEPHOTONICS","F2V2002158",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
18,"24 10/100/1000 + 2 10G + 2 1/10G STK/UPLINK","R5082432",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
19,"SOURCEPHOTONICS","F2V2002912",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
20,"OS6850E-24","R4687352",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
21,"MFGR WTD","AL1563002333",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
22,"MFGR WTD","AL1563002338",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
23,"MFGR WTD","AL1663604809",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
24,"24 10/100/1000 + 2 10G + 2 1/10G STK/UPLINK","R5082303",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
25,"MFGR WTD","AL1455006037",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
26,"24 10/100/1000 + 2 10G + 2 1/10G STK/UPLINK","R5082306",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
27,"MFGR OEM","H501407",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
28,"OS6850E-24","R4687447",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
29,"MFGR WTD","AL1663604401",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
30,"6350 24 PORT COPPER GE","U34Q0735",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
31,"SFP-GIG-LX","G6K2014851",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
32,"6350 24 PORT COPPER GE POE","U15Q0136",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
33,"SFP-GIG-LX","F7K2032389",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
34,"6350 24 PORT COPPER GE POE","U15Q0103",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
35,"SFP-GIG-LX","F7K2032375",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
36,"6350 24 PORT COPPER GE","U34Q0605",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
37,"SFP-GIG-LX","G6K2014841",,,,"2022-07-31 07:59:04.197546","2022-07-31 07:59:04.197602",,1,1,1,,,,,,1,
